edad	estado	color	residen	estatura	peso
23	S	M	2	66	132.25
23	S	M	2	72.3	147
23	S	M	2	62.1	121
23	C	M	nc	67.2	141.5
23	S	M	1	65.5	122.5
23	S	M	1	65.3	127
23	S	M	2	69.7	161.5
23	C	M	1	68.7	135.5
23	S	M	2	68.1	123.25
23	S	M	2	63	115
23	S	M	1	64.4	148
23	S	M	2	59.4	109.5
23	S	M	2	68.2	138
23	S	M	2	70.3	154
23	S	M	2	68.2	153.25
23	S	M	1	65.2	124
23	S	M	1	64.25	115
23	S	M	2	72.5	152
23	S	M	1	68.1	139.5
23	S	M	1	66	127.5
23	S	M	1	67	139.25
23	S	M	2	68.3	130
23	S	M	3	71.6	145.25
23	S	M	1	62.5	120.75
23	S	M	2	69	131.5
23	S	M	2	66	126.5
23	S	M	2	68.8	148.5
23	S	M	3	67.5	137.5
23	S	M	2	70.75	153.5
23	S	M	1	69.5	132
23	S	M	2	68.4	138.5
24	S	M	2	64	143
24	S	M	2	68.4	138
24	S	M	1	67.6	154.25
24	S	M	2	69.7	159
24	S	M	2	67.6	141.5
24	S	M	1	72	153.75
24	S	M	1	71.6	170.75
24	S	M	1	68.6	119
24	S	M	1	64.3	126.5
24	S	M	1	70.2	146
24	S	M	2	71	129.75
24	S	M	2	64.9	126
24	S	M	3	65.6	131
24	S	M	2	69.2	151.75
24	S	M	3	71.4	152.5
24	S	M	2	62.6	138
24	S	M	3	69.7	168.25
24	S	M	2	69.2	152.25
24	S	M	1	68	145
24	S	M	1	68.4	141
24	S	M	2	64.3	144.25
24	S	M	3	66.2	139.5
24	S	M	2	70.4	180.25
24	S	M	3	66.4	141
24	S	M	1	68.5	149.5
24	S	M	1	73.1	157.5
24	S	M	2	63.25	122.5
24	S	M	4	67.2	154
24	S	M	3	65.3	124.5
24	S	M	2	63.2	143.75
24	S	M	3	68.8	145.75
24	S	M	3	69.3	167
24	S	M	3	63.5	140
24	S	M	2	67.9	142
24	S	M	1	66.6	134.5
24	S	M	1	63.3	120
24	C	M	1	68	142.75
24	C	M	3	68.9	142.5
24	C	M	2	67.6	139
24	C	M	2	67.1	144.75
25	S	M	2	73.5	177.5
25	S	M	2	68.7	158
25	S	M	1	66.3	117.75
25	S	M	3	75.8	186.75
25	S	M	2	65.8	127.5
25	S	M	2	63.7	136.5
25	S	M	2	66.5	155
25	S	M	1	63.3	131.75
25	S	M	2	65.8	126
25	S	M	nc	66.3	159.5
25	S	M	2	69.7	157.75
25	S	M	3	66.7	136.75
25	S	M	2	69.5	160
25	S	M	2	70.7	166.25
25	S	M	1	66.7	130
25	S	M	3	68.7	160.75
25	S	M	2	62.2	133.75
25	S	M	1	67	130
25	S	M	1	71.5	152
25	S	M	1	68	132.25
25	S	M	1	71.4	151
25	S	M	2	73	162.5
25	S	M	1	68.8	167
25	S	M	1	66.5	148.5
25	S	M	1	65.3	123
25	S	M	3	70.3	141
25	C	M	1	68.5	145.5
25	C	M	1	68.1	140.25
25	C	M	2	67.8	127.5
25	C	M	2	68.4	135.5
25	C	M	2	68.1	145.5
25	C	M	2	66.7	135.75
23	S	N	2	66.1	125.5
23	S	N	1	66.6	146
23	S	N	2	68.7	156.25
23	S	N	1	67.2	142
23	S	N	2	69.3	138.75
23	S	N	3	68.75	151.5
23	S	N	1	64	119
24	S	N	2	68.4	147
24	S	N	3	65.8	128
24	C	N	3	68.3	137.25
24	C	N	1	63.2	132.5
25	S	N	3	69.6	158
25	S	N	2	64.9	149
25	C	N	2	69.6	164
25	C	N	2	71.3	152.75
23	S	nc	2	71.5	152.5
23	S	nc	2	67	143
23	S	nc	1	62.75	129.5
24	S	nc	2	67	119
24	S	nc	2	68.2	130.5
24	C	nc	2	69.6	146
25	S	nc	2	64.1	123.5
23	S	V	4	68.3	156
23	S	V	2	70.5	145.25
24	S	V	2	69.7	148
